Mean_values,Std_values,method,sens_Var_level,x_ticks,x,sens_Var_level_crude
0.2171,0.0253,Basic,Sex_0.0,Male,0.0,
0.2105,0.0182,Basic,Sex_1.0,Female,1.0,
0.2233,0.0581,Basic,RACE_0,White,2.0,
0.2244,0.0284,Basic,RACE_1,Black,3.0,
0.2313,0.0256,Basic,age_0.0,"Age
 [14 - 52)",4.0,
0.2158,0.026,Basic,age_1.0,"Age
 [52 - 67)",5.0,
0.1908,0.0257,Basic,age_2.0,"Age
 [67 - 102]",6.0,
0.23,0.0301,PSM,Sex_0.0,Male,0.15,Sex_0.0
0.19,0.0483,PSM,Sex_1.0,Female,1.15,Sex_1.0
0.23,0.041,PSM,RACE_0,White-PSM_B-W,2.15,RACE_0psm_BW
0.2,0.0412,PSM,RACE_1,Black-PSM_B-W,3.15,RACE_1psm_BW
0.21,0.0443,PSM,age_0.0,"Age
 [14 - 52)-PSM_1-0",4.15,age_0.0psm10
0.19,0.0476,PSM,age_1.0,"Age
 [52 - 67)-PSM_1-0",5.15,age_1.0psm10
0.21,0.0339,PSM1,age_1.0,"Age
 [52 - 67)-PSM_1-2",5.15,age_1.0psm12
0.17,0.0363,PSM1,age_2.0,"Age
 [67 - 102]-PSM_1-2",6.15,age_2.0psm12
