Mean_values,Std_values,method,sens_Var_level,x_ticks,x,sens_Var_level_crude
0.7445,0.0283,Basic,Sex_0.0,Male,0.0,
0.773,0.0182,Basic,Sex_1.0,Female,1.0,
0.7301,0.0569,Basic,RACE_0,White,2.0,
0.7908,0.0347,Basic,RACE_1,Black,3.0,
0.7391,0.0283,Basic,age_0.0,"Age
 [14 - 52)",4.0,
0.7652,0.0276,Basic,age_1.0,"Age
 [52 - 67)",5.0,
0.7844,0.029,Basic,age_2.0,"Age
 [67 - 102]",6.0,
0.76,0.032,PSM,Sex_0.0,Male,0.15,Sex_0.0
0.81,0.0495,PSM,Sex_1.0,Female,1.15,Sex_1.0
0.76,0.0349,PSM,RACE_0,White-PSM_B-W,2.15,RACE_0psm_BW
0.81,0.0352,PSM,RACE_1,Black-PSM_B-W,3.15,RACE_1psm_BW
0.75,0.0443,PSM,age_0.0,"Age
 [14 - 52)-PSM_1-0",4.15,age_0.0psm10
0.81,0.0407,PSM,age_1.0,"Age
 [52 - 67)-PSM_1-0",5.15,age_1.0psm10
0.74,0.0352,PSM1,age_1.0,"Age
 [52 - 67)-PSM_1-2",5.15,age_1.0psm12
0.81,0.0346,PSM1,age_2.0,"Age
 [67 - 102]-PSM_1-2",6.15,age_2.0psm12
