Mean_values,Std_values,method,sens_Var_level,x_ticks,x,sens_Var_level_crude
0.2079,0.0236,Basic,Sex_0.0,Male,0.0,
0.2193,0.0185,Basic,Sex_1.0,Female,1.0,
0.2289,0.0611,Basic,RACE_0,White,2.0,
0.2221,0.0276,Basic,RACE_1,Black,3.0,
0.2235,0.0257,Basic,age_0.0,"Age
 [14 - 52)",4.0,
0.2156,0.0258,Basic,age_1.0,"Age
 [52 - 67)",5.0,
0.2047,0.0253,Basic,age_2.0,"Age
 [67 - 102]",6.0,
0.22,0.0303,PSM,Sex_0.0,Male,0.15,Sex_0.0
0.2,0.0494,PSM,Sex_1.0,Female,1.15,Sex_1.0
0.23,0.0424,PSM,RACE_0,White-PSM_B-W,2.15,RACE_0psm_BW
0.2,0.0401,PSM,RACE_1,Black-PSM_B-W,3.15,RACE_1psm_BW
0.22,0.0464,PSM,age_0.0,"Age
 [14 - 52)-PSM_1-0",4.15,age_0.0psm10
0.22,0.0504,PSM,age_1.0,"Age
 [52 - 67)-PSM_1-0",5.15,age_1.0psm10
0.19,0.0332,PSM1,age_1.0,"Age
 [52 - 67)-PSM_1-2",5.15,age_1.0psm12
0.18,0.0351,PSM1,age_2.0,"Age
 [67 - 102]-PSM_1-2",6.15,age_2.0psm12
